l,,,,,,Favourite Pokemon 2025 (From Sparklez Squad Survey) ,,,,,,,,
,,,,,," (Curent total of 26,407 votes)",,,,,Notes/Patch:,REMOVED PARTNER PIKACHU/PARTNER EEVEE,,
Bug,2,Joltik,109,5.68,,,,14,Kakuna,Gen I (Kanto),1,,,
Bug,3,Snom,96,5,,,,798,Kartana,Gen VII (Alola),1,,,
Bug,4,Heracross,95,4.95,,,,345,Lileep,Gen III (Hoenn),1,,,
Bug,5,Volcarona,94,4.9,,,,294,Loudred,Gen III (Hoenn),1,,,
Bug,6,Scolipede,84,4.38,,,,337,Lunatone,Gen III (Hoenn),1,,,
Bug,7,Golisopod,73,3.8,,,,67,Machoke,Gen I (Kanto),1,,,
Bug,8,Shuckle,55,2.87,,,,307,Meditite,Gen III (Hoenn),1,,,
Bug,9,Galvantula,49,2.55,,,,323,Mega Camerupt,Gen III (Hoenn),1,,,
Bug,10,Scyther,45,2.34,,,,362,Mega Glalie,Gen III (Hoenn),1,,,
Dark,1,Umbreon,190,6.27,,,,130,Mega Gyarados,Gen I (Kanto),1,,,
Dark,2,Greninja,188,6.21,,,,115,Mega Kangaskhan,Gen I (Kanto),1,,,
Dark,3,Absol,152,5.02,,,,380,Mega Latias,Gen III (Hoenn),1,,,
Dark,4,Sableye,112,3.7,,,,127,Mega Pinsir,Gen I (Kanto),1,,,
Dark,5,Zoroark,93,3.07,,,,248,Mega Tyranitar,Gen II (Johto),1,,,
Dark,6,Darkrai,86,2.84,,,,919,Nymble,Gen IX (Paldea),1,,,
Dark,7,Hydreigon,83,2.74,,,,1017,Ogerpon (Cornerstone Mask),Gen IX (Paldea),1,,,
Dark,8,Tyranitar,81,2.67,,,,515,Panpour,Gen V (Unova),1,,,
Dark,9,Zorua,76,2.51,,,,504,Patrat,Gen V (Unova),1,,,
Dark,10,Houndoom,70,2.31,,,,489,Phione,Gen IV (Sinnoh),1,,,
Dragon,1,Garchomp,186,5.55,,,,913,Quaxwell,Gen IX (Paldea),1,,,
Dragon,2,Dragonite,153,4.57,,,,954,Rabsca,Gen IX (Paldea),1,,,
Dragon,3,Noivern,137,4.09,,,,895,Regidrago,Gen VIII (Galar/Hisui),1,,,
Dragon,4,Flygon,129,3.85,,,,952,Scovillain,Gen IX (Paldea),1,,,
Dragon,5,Dragapult,110,3.28,,,,364,Sealeo,Gen III (Hoenn),1,,,
Dragon,6,Hydreigon,83,2.48,,,,944,Shroodle,Gen IX (Paldea),1,,,
Dragon,7,Rayquaza,80,2.39,,,,21,Spearow,Gen I (Kanto),1,,,
Dragon,8,Goodra,72,2.15,,,,918,Spidops,Gen IX (Paldea),1,,,
Dragon,9,Goomy,71,2.12,,,,931,Squawkabilly (Green Plumage),Gen IX (Paldea),1,,,
Dragon,10,Altaria,66,1.97,,,,397,Staravia,Gen IV (Sinnoh),1,,,
Electric,1,Luxray,179,6.91,,,,787,Tapu Bulu,Gen VII (Alola),1,,,
Electric,2,,154,5.95,,,,788,Tapu Fini,Gen VII (Alola),1,,,
Electric,3,,137,5.29,,,,917,Tarountula,Gen IX (Paldea),1,,,
Electric,4,Ampharos,119,4.6,,,,978,Tatsugiri (Droopy Form),Gen IX (Paldea),1,,,
Electric,5,,113,4.36,,,,128,Tauros (Blaze Breed),Gen I (Kanto),1,,,
Electric,6,Pikachu,109,4.21,,,,639,Terrakion,Gen V (Unova),1,,,
Electric,7,Joltik,109,4.21,,,,538,Throh,Gen V (Unova),1,,,
Electric,8,Jolteon,103,3.98,,,,641,Tornadus (Therian Forme),Gen V (Unova),1,,,
Electric,9,Shinx,99,3.82,,,,520,Tranquill,Gen V (Unova),1,,,
Electric,10,Raichu,94,3.63,,,,288,Vigoroth,Gen III (Hoenn),1,,,
Fairy,1,Mimikyu,434,16.56,,,,629,Vullaby,Gen V (Unova),1,,,
Fairy,2,Sylveon,296,11.3,,,,479,Wash Rotom,Gen IV (Sinnoh),1,,,
Fairy,3,,,,,,,899,Wyrdeer,Gen VIII (Galar/Hisui),1,,,
Fairy,4,,,,,,,718,Zygarde (10% Forme),Gen VI (Kalos),1,,,
Fairy,5,Tinkaton,120,4.58,,,,,,,,,,
Fairy,6,,,,,,,,,,,,,
Fairy,7,Mawile,112,4.27,,,,DEX #,POKEMON WITH 0 VOTES,Generation,Votes,,,
Fairy,8,Gardevoir,91,3.47,,,,42,Golbat,Gen I (Kanto),0,,,
Fairy,9,,83,3.17,,,,72,Tentacool,Gen I (Kanto),0,,,
Fairy,10,Primarina,70,2.67,,,,74,Alolan Geodude,Gen I (Kanto),0,,,
Fighting,1,,227,8.78,,,,75,Alolan Graveler,Gen I (Kanto),0,,,
Fighting,2,Lucario,202,7.81,,,,101,Hisuian Electrode,Gen I (Kanto),0,,,
Fighting,3,,171,6.62,,,,128,Tauros (Combat Breed),Gen I (Kanto),0,,,
Fighting,4,Blaziken,143,5.53,,,,142,Mega Aerodactyl,Gen I (Kanto),0,,,
Fighting,5,Infernape,131,5.07,,,,211,Hisuian Qwilfish,Gen II (Johto),0,,,
Fighting,6,,116,4.49,,,,214,Mega Heracross,Gen II (Johto),0,,,
Fighting,7,,95,3.68,,,,310,Mega Manectric,Gen III (Hoenn),0,,,
Fighting,8,Heracross,95,3.68,,,,314,Illumise,Gen III (Hoenn),0,,,
Fighting,9,Breloom,89,3.44,,,,318,Carvanha,Gen III (Hoenn),0,,,
Fighting,10,,79,3.06,,,,351,Castform (Rainy Form),Gen III (Hoenn),0,,,
Fire,1,,,,,,,351,Castform (Snowy Form),Gen III (Hoenn),0,,,
Fire,2,,,,,,,367,Huntail,Gen III (Hoenn),0,,,
Fire,3,,,,,,,381,Mega Latios,Gen III (Hoenn),0,,,
Fire,4,Arcanine,172,4.47,,,,412,Burmy (Plant Cloak),Gen IV (Sinnoh),0,,,
Fire,5,Blaziken (Mega Blaziken),171,4.44,,,,412,Burmy (Sandy Cloak),Gen IV (Sinnoh),0,,,
Fire,6,Chandelure,163,4.24,,,,413,Wormadam (Sandy Cloak),Gen IV (Sinnoh),0,,,
Fire,7,Charizard,163,4.24,,,,460,Mega Abomasnow,Gen IV (Sinnoh),0,,,
Fire,8,Blaziken,143,3.72,,,,479,Fan Rotom,Gen IV (Sinnoh),0,,,
Fire,9,Infernape,131,3.4,,,,483,Dialga (Origin Forme),Gen IV (Sinnoh),0,,,
Fire,10,Cyndaquil,105,2.73,,,,550,Basculin (Blue-Striped Form),Gen V (Unova),0,,,
Flying,1,,,,,,,555,Darmanitan (Zen Mode),Gen V (Unova),0,,,
Flying,2,Charizard,163,5.52,,,,562,Galarian Yamask,Gen V (Unova),0,,,
Flying,3,Dragonite,153,5.18,,,,641,Tornadus (Incarnate Forme),Gen V (Unova),0,,,
Flying,4,Rowlet,149,5.05,,,,642,Thundurus (Incarnate Forme),Gen V (Unova),0,,,
Flying,5,,,,,,,645,Landorus (Therian Forme),Gen V (Unova),0,,,
Flying,6,Noivern,137,4.64,,,,705,Sliggoo,Gen VI (Kalos),0,,,
Flying,7,Gliscor,98,3.32,,,,713,Hisuian Avalugg,Gen VI (Kalos),0,,,
Flying,8,Rayquaza,80,2.71,,,,735,Gumshoos,Gen VII (Alola),0,,,
Flying,9,Lugia,68,2.3,,,,829,Gossifleur,Gen VIII (Galar/Hisui),0,,,
Flying,10,Altaria,66,2.24,,,,837,Rolycoly,Gen VIII (Galar/Hisui),0,,,
Ghost,1,Mimikyu,434,12.42,,,,843,Silicobra,Gen VIII (Galar/Hisui),0,,,
Ghost,2,,,,,,,846,Arrokuda,Gen VIII (Galar/Hisui),0,,,
Ghost,3,Gengar,270,7.73,,,,875,Eiscue (Noice Face),Gen VIII (Galar/Hisui),0,,,
Ghost,4,Chandelure,163,4.66,,,,883,Arctovish,Gen VIII (Galar/Hisui),0,,,
Ghost,5,,,,,,,888,Zacian (Hero of Many Battles),Gen VIII (Galar/Hisui),0,,,
Ghost,6,,,,,,,898,Calyrex (Shadow Rider),Gen VIII (Galar/Hisui),0,,,
Ghost,7,,,,,,,905,Enamorus (Therian Forme),Gen VIII (Galar/Hisui),0,,,
Ghost,8,Sableye,112,3.2,,,,910,Crocalor,Gen IX (Paldea),0,,,
Ghost,9,Decidueye,111,3.18,,,,916,Oinkologne (Female),Gen IX (Paldea),0,,,
Ghost,10,Dragapult,110,3.15,,,,916,Oinkologne (Male),Gen IX (Paldea),0,,,
Grass,1,Bulbasaur,207,6.36,,,,931,Squawkabilly (Blue Plumage),Gen IX (Paldea),0,,,
Grass,2,Leafeon,158,4.86,,,,931,Squawkabilly (White Plumage),Gen IX (Paldea),0,,,
Grass,3,Rowlet,149,4.58,,,,931,Squawkabilly (Yellow Plumage),Gen IX (Paldea),0,,,
Grass,4,,,,,,,938,Tadbulb,Gen IX (Paldea),0,,,
Grass,5,,,,,,,946,Bramblin,Gen IX (Paldea),0,,,
Grass,6,Decidueye,111,3.41,,,,964,Palafin (Zero Form),Gen IX (Paldea),0,,,
Grass,7,Sceptile,102,3.13,,,,976,Veluza,Gen IX (Paldea),0,,,
Grass,8,Breloom,89,2.74,,,,990,Iron Treads,Gen IX (Paldea),0,,,
Grass,9,Torterra,87,2.67,,,,993,Iron Jugulis,Gen IX (Paldea),0,,,
Grass,10,Lurantis,72,2.21,,,,1011,Dipplin,Gen IX (Paldea),0,,,
Ground,1,,,,,,,1023,Iron Crown,Gen IX (Paldea),0,,,
Ground,2,Garchomp,186,7,,,,,,,,,,
Ground,3,,,,,,,,,,,,,
Ground,4,Wooper,138,5.19,,,,,,,,,,
Ground,5,Flygon,129,4.85,,,,,,,,,,
Ground,6,Quagsire,120,4.51,,,,,,,,,,
Ground,7,Clodsire,116,4.36,,,,,,,,,,
Ground,8,Cubone,113,4.25,,,,,,,,,,
Ground,9,,,,,,,,,,,,,
Ground,10,Gliscor,98,3.69,,,,,,,,,,
Ice,1,,,,,,,,,,,,,
Ice,2,,,,,,,,,,,,,
Ice,3,Glaceon,116,7.72,,,,,,,,,,
Ice,4,Lapras,115,7.66,,,,,,,,,,
Ice,5,Snom,96,6.39,,,,,,,,,,
Ice,6,Spheal,90,5.99,,,,,,,,,,
Ice,7,,60,3.99,,,,,,,,,,
Ice,8,,55,3.66,,,,,,,,,,
Ice,9,Froslass,55,3.66,,,,,,,,,,
Ice,10,Weavile,53,3.53,,,,,,,,,,
Ice,11,,,,,,,,,,,,,
Normal,1,Eevee + (Partner Eevee),210,7.07,,,,,,,,,,
Normal,2,,,,,,,,,,,,,
Normal,3,Snorlax,164,5.52,,,,,,,,,,
Normal,4,,,,,,,,,,,,,
Normal,5,,,,,,,,,,,,,
Normal,6,Ditto,124,4.18,,,,,,,,,,
Normal,7,Skitty,64,2.16,,,,,,,,,,
Normal,8,Furret,61,2.05,,,,,,,,,,
Normal,9,Jigglypuff,59,1.99,,,,,,,,,,
Normal,10,Porygon-Z,53,1.79,,,,,,,,,,
Normal,11,Farfetch'd,48,1.62,,,,,,,,,,
Poison,1,,,,,,,,,,,,,
Poison,2,Gengar,270,10.87,,,,,,,,,,
Poison,3,Bulbasaur,207,8.33,,,,,,,,,,
Poison,4,,,,,,,,,,,,,
Poison,5,Clodsire,116,4.67,,,,,,,,,,
Poison,6,Scolipede,84,3.38,,,,,,,,,,
Poison,7,Toxtricity (Amped Form) + Low Key,77,3.1,,,,,,,,,,
Poison,8,,,,,,,,,,,,,
Poison,9,Crobat,64,2.58,,,,,,,,,,
Poison,10,Trubbish,58,2.33,,,,,,,,,,
Poison,11,Oddish,53,2.13,,,,,,,,,,
Poison,12,Haunter,49,1.97,,,,,,,,,,
Psychic,1,Espeon,157,4.55,,,,,,,,,,
Psychic,2,,,,,,,,,,,,,
Psychic,3,Mew,147,4.26,,,,,,,,,,
Psychic,4,Reuniclus,134,3.89,,,,,,,,,,
Psychic,5,Espurr,131,3.8,,,,,,,,,,
Psychic,6,,,,,,,,,,,,,
Psychic,7,,,,,,,,,,,,,
Psychic,8,,,,,,,,,,,,,
Psychic,9,Slowpoke,93,2.7,,,,,,,,,,
Psychic,10,Jirachi,91,2.64,,,,,,,,,,
Rock,1,,,,,,,,,,,,,
Rock,2,,,,,,,,,,,,,
Rock,3,Tyranitar,81,5.76,,,,,,,,,,
Rock,4,,,,,,,,,,,,,
Rock,5,Aggron,57,4.05,,,,,,,,,,
Rock,6,Shuckle,55,3.91,,,,,,,,,,
Rock,7,Sudowoodo,41,2.91,,,,,,,,,,
Rock,8,Lycanroc (Dusk Form),38,2.7,,,,,,,,,,
Rock,9,,,,,,,,,,,,,
Rock,10,,,,,,,,,,,,,
Steel,1,,,,,,,,,,,,,
Steel,2,Lucario,202,7.52,,,,,,,,,,
Steel,3,,,,,,,,,,,,,
Steel,4,,,,,,,,,,,,,
Steel,5,Scizor,135,5.03,,,,,,,,,,
Steel,6,Tinkaton,120,4.47,,,,,,,,,,
Steel,7,Mawile,112,4.17,,,,,,,,,,
Steel,8,,,,,,,,,,,,,
Steel,9,,,,,,,,,,,,,
Steel,10,Jirachi,91,3.39,,,,,,,,,,
Steel,11,Metagross,74,2.76,,,,,,,,,,
Water,1,Greninja + (Ash-Greninja),272,5.61,,,,,,,,,,
Water,2,Mudkip,236,4.87,,,,,,,,,,
Water,3,Piplup,199,4.11,,,,,,,,,,
Water,4,Greninja,188,3.88,,,,,,,,,,
Water,5,Oshawott,181,3.74,,,,,,,,,,
Water,6,Psyduck,176,3.63,,,,,,,,,,
Water,7,Wooper,138,2.85,,,,,,,,,,
Water,8,Quagsire,120,2.48,,,,,,,,,,
Water,9,Lapras,115,2.37,,,,,,,,,,
Water,10,Squirtle,115,2.37,,,,,,,,,,
Water,11,,,,,,,,,,,,,
Water,12,Vaporeon,104,2.15,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"NOTE: When looking at rankings, if TIED, use the Top placement of that value",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ALL POKEMON RANKINGS,,,,,,,,,,,,
,,all variants seperated,,,,,,,,,,,,
Rank,Dex #,Pokémon Name,Generation,Votes,,,,,,,,,,
1st,778,Mimikyu,Gen VII (Alola),434,,,,,,,,,,
2nd,700,Sylveon,Gen VI (Kalos),296,,,,,,,,,,
3rd,94,Gengar,Gen I (Kanto),270,,,,,,,,,,
4th,258,Mudkip,Gen III (Hoenn),236,,,,,,,,,,
5th,1,Bulbasaur,Gen I (Kanto),207,,,,,,,,,,
6th,448,Lucario,Gen IV (Sinnoh),202,,,,,,,,,,
7th,133,Eevee,Gen I (Kanto),199,,,,,,,,,,
8th,393,Piplup,Gen IV (Sinnoh),199,,,,,,,,,,
9th,197,Umbreon,Gen II (Johto),190,,,,,,,,,,
10th,658,Greninja,Gen VI (Kalos),188,,,,,,,,,,
11th,445,Garchomp,Gen IV (Sinnoh),186,,,,,,,,,,
12th,501,Oshawott,Gen V (Unova),181,,,,,,,,,,
13th,405,Luxray,Gen IV (Sinnoh),179,,,,,,,,,,
14th,54,Psyduck,Gen I (Kanto),176,,,,,,,,,,
15th,59,Arcanine,Gen I (Kanto),172,,,,,,,,,,
16th,143,Snorlax,Gen I (Kanto),164,,,,,,,,,,
17th,609,Chandelure,Gen V (Unova),163,,,,,,,,,,
18th,6,Charizard,Gen I (Kanto),163,,,,,,,,,,
19th,470,Leafeon,Gen IV (Sinnoh),158,,,,,,,,,,
20th,196,Espeon,Gen II (Johto),157,,,,,,,,,,
21st,149,Dragonite,Gen I (Kanto),153,,,,,,,,,,
22nd,359,Absol,Gen III (Hoenn),152,,,,,,,,,,
23rd,722,Rowlet,Gen VII (Alola),149,,,,,,,,,,
24th,151,Mew,Gen I (Kanto),147,,,,,,,,,,
25th,257,Blaziken,Gen III (Hoenn),143,,,,,,,,,,
26th,194,Wooper,Gen II (Johto),138,,,,,,,,,,
27th,715,Noivern,Gen VI (Kalos),137,,,,,,,,,,
28th,212,Scizor,Gen II (Johto),135,,,,,,,,,,
29th,579,Reuniclus,Gen V (Unova),134,,,,,,,,,,
30th,677,Espurr,Gen VI (Kalos),131,,,,,,,,,,
31st,392,Infernape,Gen IV (Sinnoh),131,,,,,,,,,,
32nd,330,Flygon,Gen III (Hoenn),129,,,,,,,,,,
33rd,132,Ditto,Gen I (Kanto),124,,,,,,,,,,
34th,195,Quagsire,Gen II (Johto),120,,,,,,,,,,
35th,959,Tinkaton,Gen IX (Paldea),120,,,,,,,,,,
36th,181,Ampharos,Gen II (Johto),119,,,,,,,,,,
37th,980,Clodsire,Gen IX (Paldea),116,,,,,,,,,,
38th,471,Glaceon,Gen IV (Sinnoh),116,,,,,,,,,,
39th,131,Lapras,Gen I (Kanto),115,,,,,,,,,,
40th,7,Squirtle,Gen I (Kanto),115,,,,,,,,,,
41st,104,Cubone,Gen I (Kanto),113,,,,,,,,,,
42nd,303,Mawile,Gen III (Hoenn),112,,,,,,,,,,
43rd,302,Sableye,Gen III (Hoenn),112,,,,,,,,,,
44th,724,Decidueye,Gen VII (Alola),111,,,,,,,,,,
45th,887,Dragapult,Gen VIII (Galar/Hisui),110,,,,,,,,,,
46th,595,Joltik,Gen V (Unova),109,,,,,,,,,,
47th,25,Pikachu,Gen I (Kanto),109,,,,,,,,,,
48th,155,Cyndaquil,Gen II (Johto),105,,,,,,,,,,
49th,134,Vaporeon,Gen I (Kanto),104,,,,,,,,,,
50th,135,Jolteon,Gen I (Kanto),103,,,,,,,,,,
51st,254,Sceptile,Gen III (Hoenn),102,,,,,,,,,,
52nd,403,Shinx,Gen IV (Sinnoh),99,,,,,,,,,,
53rd,472,Gliscor,Gen IV (Sinnoh),98,,,,,,,,,,
54th,872,Snom,Gen VIII (Galar/Hisui),96,,,,,,,,,,
55th,158,Totodile,Gen II (Johto),96,,,,,,,,,,
56th,214,Heracross,Gen II (Johto),95,,,,,,,,,,
57th,937,Ceruledge,Gen IX (Paldea),94,,,,,,,,,,
58th,26,Raichu,Gen I (Kanto),94,,,,,,,,,,
59th,637,Volcarona,Gen V (Unova),94,,,,,,,,,,
60th,79,Slowpoke,Gen I (Kanto),93,,,,,,,,,,
61st,571,Zoroark,Gen V (Unova),93,,,,,,,,,,
62nd,282,Gardevoir,Gen III (Hoenn),91,,,,,,,,,,
63rd,385,Jirachi,Gen III (Hoenn),91,,,,,,,,,,
